,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
1429,5385970.0,New building,Котельники,8.0,Moscow region,1.0,43.94,17.6,11.8,12.0,17,Cosmetic
1430,16731712.0,New building,Каширская,4.0,Moscow,3.0,67.32,36.2,12.2,6.0,10,Cosmetic
1431,7879500.0,New building,Котельники,3.0,Moscow region,2.0,61.8,24.2,21.4,2.0,17,Cosmetic
1432,56000000.0,Secondary,Тестовская,15.0,Moscow,2.0,90.0,50.0,15.0,7.0,24,Without renovation
1433,7798451.0,New building,Жулебино,14.0,Moscow region,4.0,72.94,51.9,5.4,10.0,14,Cosmetic
1434,46000000.0,Secondary,Фили,6.0,Moscow,4.0,126.0,80.0,30.0,22.0,42,Without renovation
1435,47052500.0,Secondary,Сходненская,17.0,Moscow,1.0,79.5,53.0,15.0,5.0,5,Without renovation
1436,52500000.0,Secondary, Народное Ополчение,10.0,Moscow,4.0,127.5,66.6,17.2,20.0,58,Without renovation
1437,159000000.0,Secondary, Улица 1905 года,15.0,Moscow,4.0,143.0,74.4,18.5,13.0,20,Designer
1438,58500000.0,Secondary,Улица 1905 года,7.0,Moscow,1.0,64.7,37.0,25.0,5.0,24,Designer
1439,205000000.0,Secondary, Щукинская,11.0,Moscow,6.0,560.0,50.0,53.0,4.0,31,Designer
1440,15990000.0,Secondary,ВДНХ,16.0,Moscow,2.0,47.3,31.7,8.8,14.0,14,Cosmetic
1441,20600000.0,Secondary,Хорошево,23.0,Moscow,1.0,38.7,15.2,11.7,6.0,44,Without renovation
1442,8232800.0,New building,Братиславская,13.0,Moscow,1.0,40.16,22.4,10.0,16.0,16,Cosmetic
1443,5225800.0,New building,Жулебино,8.0,Moscow region,1.0,36.04,20.4,9.6,2.0,14,Cosmetic
1444,12342400.0,New building,Перерва,4.0,Moscow,3.0,76.0,52.6,8.8,3.0,23,Cosmetic
1445,20500000.0,Secondary, Полежаевская,17.0,Moscow,0.0,44.0,24.4,10.3,12.0,27,Without renovation
1446,9217850.0,New building,Зябликово,9.0,Moscow region,2.0,58.9,31.3,11.1,8.0,14,Cosmetic
1447,8450000.0,Secondary,Коммунарка,14.0,Moscow,0.0,22.0,19.0,3.0,6.0,15,European-style renovation
1448,11666188.0,New building,Зябликово,9.0,Moscow region,2.0,65.8,32.7,12.6,7.0,14,Cosmetic
1449,4603998.0,New building,Красногвардейская,11.0,Moscow region,2.0,33.87,19.8,6.0,8.0,20,Cosmetic
1450,31500000.0,Secondary,Савеловская,12.0,Moscow,3.0,80.0,42.8,10.0,2.0,9,Cosmetic
1451,85000000.0,Secondary,Новаторская,18.0,Moscow,4.0,180.1,72.0,30.0,8.0,48,Designer
1452,84800000.0,Secondary, Улица 1905 года,9.0,Moscow,4.0,170.0,140.0,25.0,6.0,14,Designer
1453,53000000.0,Secondary, Тверская,7.0,Moscow,3.0,93.8,68.8,20.0,4.0,14,European-style renovation
1454,3200000.0,Secondary,Отрадное,14.0,Moscow,0.0,10.8,7.6,7.5,1.0,9,Without renovation
1455,6380421.0,New building,Красногвардейская,12.0,Moscow region,1.0,32.69,14.5,9.6,16.0,20,Cosmetic
1456,3929597.0,New building,Красногвардейская,11.0,Moscow region,0.0,21.36,14.6,8.4,13.0,20,Cosmetic
